empId,passengerId,testDate,testTime,testResult
43-8720653,664-66-8850,2021-02-07,13:12:00,negative
07-4678854,758-05-5292,2021-02-14,4:39:35,negative
25-2925613,257-42-2709,2021-02-16,8:58:58,positive
93-0412593,835-61-5307,2021-02-19,4:57:00,positive
29-1737566,312-34-0854,2021-02-09,23:01:33,negative
72-1749810,863-90-2720,2021-02-12,18:27:59,positive
10-5741533,657-76-7080,2021-02-15,11:10:23,negative
77-6844874,563-50-9517,2021-02-09,7:07:15,positive
79-0472296,773-87-8993,2021-02-20,17:26:09,negative
66-2458408,233-12-2587,2021-02-16,15:35:46,positive
05-9812153,234-80-9826,2021-02-07,17:32:21,positive
35-8090713,331-37-3728,2021-02-08,9:39:55,negative
85-6546698,101-03-8851,2021-02-07,4:54:36,positive
05-5789902,432-71-7185,2021-02-07,19:29:09,negative
82-2837215,176-71-8268,2021-02-07,2:47:22,negative
49-1818511,520-98-2329,2021-02-10,23:42:15,negative
94-0191121,800-05-9986,2021-02-11,16:13:57,positive
20-1257232,196-81-9076,2021-02-14,23:23:36,positive
46-5157441,180-82-5534,2021-02-19,17:59:26,positive
98-6490053,463-42-7536,2021-02-07,14:22:49,positive
50-3043773,191-90-1032,2021-02-20,4:55:20,negative
02-1291439,435-80-0674,2021-02-15,8:33:09,positive
09-4305064,652-67-7675,2021-02-16,3:18:47,negative
39-8680552,778-76-4749,2021-02-09,19:36:22,positive
50-4627123,345-32-2489,2021-02-16,22:32:23,negative
60-9732222,150-36-5789,2021-02-10,5:36:53,negative
62-0425832,345-78-7735,2021-02-18,19:13:48,positive
97-6678195,811-28-8002,2021-02-15,6:42:12,negative
06-3538938,774-32-7567,2021-02-14,18:51:55,negative
80-9175105,466-12-7124,2021-02-17,8:10:47,positive
50-8943056,692-01-0952,2021-02-13,8:57:02,positive
87-0384458,194-13-2381,2021-02-15,11:00:16,positive
75-0993051,239-96-8885,2021-02-11,3:26:55,negative
97-8850461,306-91-2554,2021-02-07,9:19:06,positive
57-2755153,159-28-8720,2021-02-09,5:40:05,negative
01-4051676,428-13-8734,2021-02-14,12:26:30,positive
77-8313727,142-36-6918,2021-02-12,6:18:04,negative
75-6524444,454-10-4081,2021-02-18,0:49:15,negative
24-5017835,329-84-1531,2021-02-15,15:00:32,negative
64-4020985,330-84-1831,2021-02-17,15:06:23,positive
13-4460294,110-11-6514,2021-02-13,19:42:34,positive
15-1491903,162-34-7291,2021-02-15,7:07:56,positive
14-2707588,199-88-7339,2021-02-16,0:03:42,negative
55-2757388,507-11-5354,2021-02-11,13:05:52,positive
09-1185247,305-85-0302,2021-02-16,6:31:12,negative
00-4959676,461-02-7807,2021-02-08,23:01:04,positive
32-6773511,411-84-4218,2021-02-18,15:01:33,negative
69-2593318,718-57-1402,2021-02-17,23:06:48,positive
69-2246473,342-35-5742,2021-02-16,2:20:07,negative
62-7629138,178-95-9881,2021-02-08,4:06:56,negative
54-8550772,616-14-2618,2021-02-19,22:09:57,negative
26-1159185,811-29-9621,2021-02-10,13:25:47,negative
51-0387134,838-68-3613,2021-02-12,10:24:55,positive
83-6864574,677-85-0722,2021-02-16,14:22:11,positive
17-9934610,843-30-0962,2021-02-09,3:35:02,positive
99-0117114,752-06-7432,2021-02-13,23:34:17,negative
52-5294713,749-07-4794,2021-02-10,12:08:00,negative
08-2785940,358-45-9603,2021-02-09,9:37:26,negative
44-8358265,458-31-0961,2021-02-20,9:19:58,positive
40-3048756,277-68-2713,2021-02-19,12:21:47,negative
54-4860132,468-38-1643,2021-02-19,11:45:44,negative
94-6859208,108-45-2566,2021-02-07,22:13:28,positive
70-9069396,193-41-8997,2021-02-10,13:42:29,negative
46-0885078,508-41-4091,2021-02-08,0:00:26,positive
54-0162794,497-10-5363,2021-02-14,18:37:31,negative
81-2567836,550-33-5993,2021-02-16,16:24:22,positive
37-1193389,285-49-5210,2021-02-18,2:42:06,negative
06-6161176,884-55-8999,2021-02-08,16:33:27,negative
19-7425947,665-09-4988,2021-02-20,3:02:38,positive
63-7946439,219-10-5790,2021-02-14,0:38:55,negative
16-6884270,498-16-6067,2021-02-17,16:11:48,positive
78-9831307,583-29-8034,2021-02-12,3:45:29,positive
91-6111815,440-49-1988,2021-02-14,19:10:54,negative
26-5208801,753-30-1246,2021-02-10,6:49:36,positive
46-9495145,884-57-2739,2021-02-15,21:50:13,positive
13-3518673,188-36-2369,2021-02-12,19:06:24,positive
42-4701795,319-78-7153,2021-02-15,14:33:25,negative
15-6450685,480-85-9936,2021-02-09,15:02:31,positive
13-7519672,690-89-4716,2021-02-18,20:13:27,negative
43-8744252,566-67-6324,2021-02-10,11:11:28,negative
82-7137689,497-83-7823,2021-02-15,9:15:29,positive
02-6547192,785-50-1262,2021-02-16,14:00:56,positive
51-5204695,559-71-4321,2021-02-18,13:25:39,negative
18-2442362,471-84-9809,2021-02-09,17:53:35,negative
52-7508874,653-83-3759,2021-02-19,20:30:31,negative
55-8493080,872-75-0826,2021-02-20,18:30:33,positive
89-3675197,323-08-9287,2021-02-13,17:40:32,positive
08-6733271,288-35-5789,2021-02-13,2:43:24,positive
78-6847909,633-95-1437,2021-02-19,17:16:21,positive
05-0813393,270-64-0313,2021-02-07,14:57:16,positive
20-5225610,482-38-7791,2021-02-14,12:55:49,negative
12-4321780,683-43-0165,2021-02-15,3:46:55,negative
73-6960318,549-39-2470,2021-02-08,6:57:03,positive
64-2781654,136-07-6319,2021-02-15,18:54:47,negative
67-5813607,331-41-8369,2021-02-09,8:07:57,positive
36-4260901,266-83-0010,2021-02-07,4:01:32,positive
10-7409127,302-27-9137,2021-02-19,23:19:07,positive
05-0819846,575-63-1516,2021-02-18,9:42:13,positive
59-8978164,576-69-8008,2021-02-15,9:13:20,negative
11-9704144,170-98-2263,2021-02-18,21:26:37,positive
14-0511487,126-83-4463,2021-02-18,8:07:44,positive
89-8856372,311-37-7873,2021-02-19,15:54:44,positive
32-0854815,185-34-5310,2021-02-07,4:30:55,negative
18-6467261,588-85-8792,2021-02-17,4:50:47,negative
93-8202886,513-31-2059,2021-02-19,14:06:55,positive
21-6971167,677-19-7420,2021-02-08,4:25:13,negative
28-2101993,879-84-0265,2021-02-18,9:13:04,negative
84-3874960,347-07-1921,2021-02-14,9:03:06,positive
07-7022553,730-53-8012,2021-02-19,4:26:02,positive
45-8013387,627-47-4426,2021-02-10,23:09:02,positive
68-8858949,308-25-3136,2021-02-17,17:37:35,negative
47-9723723,344-75-3720,2021-02-11,16:56:09,positive
20-7321204,733-14-7641,2021-02-07,23:35:34,negative
11-2882407,766-26-9562,2021-02-08,7:56:04,positive
46-9707583,298-74-4994,2021-02-14,20:44:29,positive
29-2549133,276-33-4938,2021-02-10,9:52:15,negative
24-6170613,230-09-9868,2021-02-10,0:13:37,negative
10-9694054,741-04-0328,2021-02-17,16:26:44,positive
50-3577687,868-46-8360,2021-02-19,6:46:27,negative
36-8999801,306-89-1409,2021-02-20,19:24:12,negative
37-5565477,493-02-1524,2021-02-08,2:48:42,negative
47-2021603,624-29-9345,2021-02-16,7:10:53,negative
84-4632308,482-81-3291,2021-02-17,3:21:44,negative
16-0973713,174-67-8572,2021-02-07,16:09:10,positive
64-3320608,446-99-8771,2021-02-10,5:41:31,negative
13-0243345,777-51-3820,2021-02-13,5:13:27,negative
03-7023188,405-80-1749,2021-02-10,11:07:47,negative
01-2935779,872-99-1969,2021-02-13,20:23:57,positive
14-2796846,462-37-4217,2021-02-19,21:10:14,positive
88-1210218,462-41-3749,2021-02-16,1:21:46,positive
54-5556807,192-94-6209,2021-02-14,20:57:04,positive
39-2963188,483-55-6757,2021-02-12,2:44:38,positive
39-5475544,354-71-9241,2021-02-09,16:12:23,positive
17-5091550,717-50-1348,2021-02-13,13:49:01,positive
30-9365420,498-70-2255,2021-02-15,17:26:14,negative
32-1192603,368-52-0722,2021-02-09,9:44:04,positive
51-0555274,175-14-7892,2021-02-18,20:50:47,negative
07-2168041,174-78-6208,2021-02-19,8:06:59,positive
46-1994329,804-45-3314,2021-02-13,18:52:07,positive
72-9784045,756-21-3351,2021-02-12,2:10:01,positive
56-7406841,702-96-4574,2021-02-15,1:44:41,positive
14-2580674,763-63-7242,2021-02-14,23:54:14,positive
88-9357597,513-23-0796,2021-02-12,11:10:41,positive
13-1064294,277-27-2818,2021-02-15,2:17:07,negative
42-2861534,573-40-7682,2021-02-19,23:42:01,positive
59-2778955,262-14-4262,2021-02-18,8:50:55,negative
87-3798254,268-52-4620,2021-02-09,6:40:40,negative
27-7471699,165-01-7989,2021-02-20,4:01:39,negative
43-8801031,811-03-7506,2021-02-17,4:30:07,positive
21-1092240,843-64-6054,2021-02-09,0:36:05,positive
70-2189339,188-41-2829,2021-02-19,12:53:59,positive
98-9697356,386-30-2326,2021-02-18,21:26:26,negative
18-8587927,543-49-9075,2021-02-10,1:15:32,negative
60-3475468,540-10-8280,2021-02-13,22:55:10,positive
76-1447174,635-88-2186,2021-02-10,9:42:22,positive
49-3723587,605-19-2117,2021-02-11,10:45:24,positive
50-6877334,564-92-0383,2021-02-08,1:35:17,negative
46-8289274,477-48-8532,2021-02-17,5:27:06,positive
21-9348002,630-26-4405,2021-02-20,17:55:54,negative
57-4430890,597-30-6237,2021-02-17,1:04:26,positive
26-0081364,582-34-0140,2021-02-15,11:05:33,negative
58-7420176,206-91-3926,2021-02-15,20:47:48,positive
60-4580778,405-69-7717,2021-02-09,10:18:27,positive
81-5520611,826-74-3994,2021-02-15,21:55:26,positive
33-6665484,383-47-3459,2021-02-19,19:50:53,negative
94-5091567,534-75-1679,2021-02-19,9:12:06,negative
84-6775348,544-86-6088,2021-02-14,14:42:31,positive
03-2697395,627-15-5618,2021-02-13,17:12:50,negative
20-9607503,378-38-7721,2021-02-13,1:03:36,negative
10-6976270,243-33-2207,2021-02-10,20:38:30,positive
35-3246034,775-18-8628,2021-02-13,11:36:57,positive
10-2705541,569-83-1325,2021-02-15,15:39:10,negative
14-9501417,743-30-8760,2021-02-13,22:55:45,negative
83-7957126,715-13-6177,2021-02-14,2:52:13,negative
66-7644551,891-96-9820,2021-02-08,9:40:58,positive
67-1658137,135-31-3210,2021-02-12,9:49:42,positive
36-5086317,332-84-4699,2021-02-13,10:31:44,positive
69-2912856,231-11-1854,2021-02-12,1:00:28,negative
51-1225944,856-78-1727,2021-02-17,19:23:12,negative
55-2183718,424-78-2525,2021-02-07,15:45:17,positive
64-9031158,688-99-7601,2021-02-09,12:25:21,negative
75-0020844,245-61-9644,2021-02-08,6:05:12,negative
94-9248083,107-35-7458,2021-02-19,0:39:55,positive
44-0985753,836-11-2091,2021-02-17,23:29:05,positive
58-1954592,194-16-3279,2021-02-18,3:58:38,positive
84-5180798,336-25-9039,2021-02-09,2:46:04,positive
19-6554874,760-05-3164,2021-02-20,16:42:41,positive
83-9742054,877-60-8038,2021-02-16,4:25:48,positive
27-6854806,398-22-4550,2021-02-09,22:14:40,negative
32-6562940,469-66-4346,2021-02-08,0:07:51,positive
30-3100330,301-44-2755,2021-02-08,21:54:37,positive
09-2162779,612-02-3783,2021-02-12,5:39:04,negative
27-9880014,841-68-0834,2021-02-16,13:54:59,negative
88-8856750,494-32-5353,2021-02-10,12:46:54,negative
85-5014886,188-65-1349,2021-02-18,10:09:55,positive
95-7429742,173-52-3101,2021-02-18,13:29:07,negative
12-6171865,249-50-2607,2021-02-09,14:52:04,positive
92-3983924,341-66-0188,2021-02-11,10:02:24,negative
52-7421914,316-79-9916,2021-02-09,13:49:57,negative
23-7831871,791-53-3137,2021-02-16,12:00:34,positive
79-5400231,355-69-1351,2021-02-11,12:11:44,positive
84-5340038,297-50-9542,2021-02-20,21:53:58,negative
09-7915395,645-88-0794,2021-02-16,3:20:40,positive
33-7259260,781-15-4149,2021-02-19,2:48:08,negative
41-8323465,563-53-9381,2021-02-12,19:56:35,negative
69-7109273,500-87-0090,2021-02-15,14:16:49,negative
91-2223978,178-08-3621,2021-02-12,0:25:45,negative
10-2505070,842-97-3494,2021-02-11,18:09:23,positive
57-4824654,406-16-5487,2021-02-13,1:32:45,positive
27-6731162,868-28-4992,2021-02-09,13:41:56,positive
16-8759396,201-43-2973,2021-02-18,23:19:49,negative
81-8429828,689-72-9249,2021-02-20,2:12:56,positive
69-1441470,369-30-4506,2021-02-19,4:51:51,positive
84-5649436,255-24-5094,2021-02-17,4:40:28,negative
42-6110744,286-05-9819,2021-02-13,22:21:43,negative
73-6286775,209-67-7487,2021-02-18,15:41:52,negative
91-4939461,573-70-9499,2021-02-12,4:33:28,positive
27-2081514,849-93-3593,2021-02-09,11:47:00,negative
07-5402658,632-92-1875,2021-02-17,16:33:41,positive
21-1581984,396-16-6224,2021-02-14,17:05:06,negative
56-9675678,577-90-4012,2021-02-14,4:01:37,positive
54-7454172,134-27-7909,2021-02-16,16:21:06,negative
35-2942029,411-85-0012,2021-02-11,15:41:08,positive
33-0405287,306-91-2420,2021-02-20,1:29:24,positive
40-3926706,426-20-3209,2021-02-16,7:23:07,positive
60-3482794,246-90-9690,2021-02-15,11:22:21,negative
45-5466866,235-89-9460,2021-02-13,5:29:10,positive
80-2661293,757-28-7626,2021-02-18,7:48:27,positive
24-3573974,846-87-6547,2021-02-12,19:36:16,positive
07-0243674,582-80-5743,2021-02-12,19:18:50,negative
23-3258106,753-72-7141,2021-02-19,22:33:09,positive
19-4096807,185-94-8981,2021-02-18,18:57:50,positive
94-6097082,220-50-9478,2021-02-11,12:36:03,positive
50-5087460,884-67-8935,2021-02-07,7:53:48,negative
46-9246643,616-47-7883,2021-02-09,3:14:50,negative
68-5685158,311-69-4285,2021-02-08,16:38:59,negative
84-2871906,416-45-4821,2021-02-15,20:03:45,positive
92-3208784,804-50-1049,2021-02-18,18:52:50,negative
31-4426448,855-18-4980,2021-02-09,22:10:56,positive
62-9180242,577-47-1862,2021-02-14,9:21:57,positive
56-7568240,669-06-8482,2021-02-18,2:43:25,positive
81-1857239,489-52-7834,2021-02-10,18:26:05,negative
69-2148061,263-30-1069,2021-02-19,12:37:06,positive
26-9704773,351-30-3155,2021-02-09,3:32:26,negative
20-9941030,174-30-8424,2021-02-09,19:03:56,negative
11-8362757,179-14-5137,2021-02-20,9:47:31,negative
72-6255129,386-53-7055,2021-02-15,17:59:11,positive
16-9029720,770-68-9180,2021-02-12,18:43:10,negative
53-1040876,531-64-4112,2021-02-15,0:22:54,positive
40-1073473,427-42-9895,2021-02-09,3:19:36,negative
33-7374772,204-85-2819,2021-02-11,16:53:24,negative
25-8554066,288-94-6355,2021-02-16,4:18:31,positive
75-5753735,207-42-7140,2021-02-20,21:00:00,positive
14-5115520,470-28-6295,2021-02-17,9:35:47,negative
35-3451249,450-05-7272,2021-02-14,4:14:07,positive
64-5785498,822-06-7943,2021-02-09,21:29:15,positive
32-0834676,681-96-9131,2021-02-19,9:31:27,negative
03-6556985,737-28-9057,2021-02-08,7:47:08,negative
00-7752897,553-87-4601,2021-02-09,7:36:59,negative
31-1029910,758-70-9343,2021-02-07,23:46:28,negative
92-8412539,110-95-9685,2021-02-11,4:37:11,negative
46-4723847,844-95-7471,2021-02-17,9:18:22,negative
64-6971197,258-39-1201,2021-02-17,9:58:09,positive
79-6755679,749-45-5279,2021-02-08,9:14:42,positive
76-2145977,284-89-7668,2021-02-11,8:28:58,negative
71-8948455,202-56-5096,2021-02-09,10:04:21,positive
49-0396623,531-93-8802,2021-02-20,2:48:05,negative
51-8452870,579-79-8402,2021-02-10,5:58:08,negative
46-5019629,351-33-0998,2021-02-09,7:12:30,positive
71-9330265,745-43-8193,2021-02-11,3:00:58,negative
93-8414915,406-54-4350,2021-02-18,12:45:19,negative
30-7479998,711-04-2343,2021-02-15,2:48:35,positive
86-0748072,833-91-1999,2021-02-10,17:19:51,negative
24-5618458,748-06-0917,2021-02-08,8:57:16,positive
42-8050586,609-68-2318,2021-02-18,14:32:46,negative
17-5948638,399-73-5089,2021-02-12,15:20:25,negative
87-2542291,588-24-8989,2021-02-20,4:28:46,positive
41-7333977,678-55-3590,2021-02-11,2:10:40,positive
67-6607089,429-22-2217,2021-02-10,22:55:13,positive
07-9486893,810-48-8710,2021-02-07,0:22:42,positive
30-6109088,776-81-9053,2021-02-13,20:31:52,positive
63-3532029,232-61-6632,2021-02-19,22:04:06,negative
27-7358309,899-30-1664,2021-02-10,2:55:25,negative
27-9875251,745-10-2422,2021-02-15,7:23:29,negative
41-3544670,446-03-6696,2021-02-20,4:53:34,positive
46-4802495,759-37-1352,2021-02-12,1:19:43,positive
16-9878027,246-66-9321,2021-02-16,17:25:50,positive
61-6758179,595-66-7310,2021-02-19,8:38:02,positive
25-5705448,800-04-3306,2021-02-09,10:25:37,positive
33-0053952,497-78-1307,2021-02-08,4:33:06,negative
08-4184624,112-21-4059,2021-02-07,20:06:14,negative
70-8084632,448-15-7200,2021-02-09,21:11:49,positive
40-5614865,816-40-5759,2021-02-11,10:58:31,positive
54-7300617,352-33-9969,2021-02-12,8:37:51,negative
07-5206214,273-98-4499,2021-02-08,21:39:42,positive
46-2349880,688-76-5012,2021-02-08,0:09:05,positive
11-1787794,460-69-3409,2021-02-15,4:35:14,negative
73-1864056,437-98-9387,2021-02-15,1:42:44,negative
40-9397860,371-20-4171,2021-02-13,14:33:22,positive
97-2070752,402-79-7973,2021-02-09,11:04:50,negative
24-9230406,798-87-2762,2021-02-13,2:06:31,negative
13-0230533,145-75-0279,2021-02-09,6:47:26,negative
39-9832696,480-71-1278,2021-02-18,19:38:43,negative
69-0347501,176-11-3531,2021-02-19,18:04:39,negative
32-5711192,543-99-8290,2021-02-07,16:15:12,negative
36-3855250,538-33-5308,2021-02-09,14:12:32,negative
22-0293147,722-52-4126,2021-02-20,23:41:26,positive
90-3772514,629-96-2205,2021-02-16,18:36:43,negative
30-7944492,488-42-4367,2021-02-09,22:14:08,positive
05-3815112,581-43-8909,2021-02-07,0:38:02,positive
42-4260842,691-06-9776,2021-02-08,4:12:00,negative
89-9820951,462-04-0241,2021-02-19,7:32:12,negative
16-1590365,704-70-4400,2021-02-09,12:32:43,negative
48-9187552,657-70-4279,2021-02-13,11:42:26,negative
61-8332370,271-84-4988,2021-02-20,1:58:20,positive
87-8445889,723-12-0905,2021-02-20,18:05:28,negative
66-3901476,288-50-6583,2021-02-18,15:25:50,positive
94-2380260,597-35-4802,2021-02-16,5:04:51,positive
34-3186266,584-75-6677,2021-02-09,7:04:41,negative
14-9709761,128-14-1724,2021-02-07,14:25:55,negative
03-4207744,774-13-4471,2021-02-11,13:07:20,positive
01-3669604,132-14-7905,2021-02-15,3:58:58,positive
30-7335545,102-37-9242,2021-02-08,21:19:55,positive
09-8908595,623-71-3973,2021-02-20,1:53:37,negative
10-9973331,306-25-0216,2021-02-10,2:26:09,positive
56-8436923,454-40-6328,2021-02-07,23:54:34,negative
45-4569543,761-55-9149,2021-02-19,18:21:12,negative
60-3043973,754-56-7805,2021-02-08,13:53:02,negative
46-3956048,628-29-5480,2021-02-14,20:44:29,positive
15-1165766,281-72-0763,2021-02-10,6:41:53,positive
06-0364356,738-06-0060,2021-02-12,10:04:48,negative
24-0946592,615-84-5767,2021-02-10,21:26:36,positive
93-7186926,760-64-1629,2021-02-16,15:09:38,negative
77-4949113,676-14-5728,2021-02-19,0:46:38,negative
97-2070771,495-86-8431,2021-02-19,8:41:29,positive
64-7620629,454-38-0119,2021-02-08,17:20:50,positive
44-5658616,582-33-6088,2021-02-08,13:34:02,positive
36-6966915,371-71-7712,2021-02-14,21:14:05,negative
67-7426370,739-07-2877,2021-02-08,22:46:55,negative
07-3329802,344-61-7528,2021-02-14,17:06:55,negative
55-1977723,533-87-5460,2021-02-09,6:54:03,negative
62-2348252,686-98-4767,2021-02-14,2:55:50,negative
06-7321403,512-96-6705,2021-02-18,9:17:00,negative
98-0614262,108-85-8966,2021-02-09,23:42:43,negative
67-7723435,393-11-2471,2021-02-12,7:42:57,positive
90-8054882,200-67-8264,2021-02-07,8:33:36,negative
77-5177138,483-69-9575,2021-02-18,12:30:48,negative
90-7563215,323-28-6391,2021-02-12,18:11:48,positive
16-0218852,580-89-7487,2021-02-17,11:49:04,negative
43-8650268,519-50-9879,2021-02-17,10:46:29,negative
54-1699086,323-28-7411,2021-02-18,13:54:34,negative
49-0885981,521-29-2713,2021-02-12,0:29:53,positive
84-2991993,111-85-6312,2021-02-13,12:00:11,negative
49-3098133,784-83-6646,2021-02-12,8:18:41,negative
01-8047631,328-99-9223,2021-02-12,3:19:46,positive
57-4895907,275-07-1103,2021-02-11,23:49:45,positive
21-4035419,247-14-8315,2021-02-16,6:14:41,positive
01-3921781,351-67-9865,2021-02-11,15:09:42,positive
55-6097258,544-90-7912,2021-02-08,11:13:27,positive
03-0898193,527-72-7611,2021-02-12,17:59:21,positive
25-0619943,209-09-4691,2021-02-08,23:58:36,positive
54-4681349,691-50-2703,2021-02-07,3:15:57,negative
45-6632532,307-99-5330,2021-02-16,22:36:03,positive
59-5409127,414-24-7488,2021-02-13,11:57:59,positive
72-0218202,319-16-7305,2021-02-12,9:59:29,positive
56-0725111,345-56-7117,2021-02-10,20:32:23,negative
51-3979534,526-93-8433,2021-02-08,3:22:08,positive
89-1967766,426-02-2050,2021-02-20,5:27:16,positive
50-8545002,339-13-2850,2021-02-19,5:28:32,negative
04-2278862,281-23-9030,2021-02-08,12:00:49,positive
60-0017399,621-18-2183,2021-02-17,10:47:07,negative
76-6939915,394-86-4303,2021-02-15,23:27:21,negative
34-3918702,383-16-2472,2021-02-15,10:57:47,negative
86-8389554,128-05-4776,2021-02-07,2:20:12,negative
28-4277217,212-42-0125,2021-02-18,20:58:00,negative
91-9904089,232-14-8260,2021-02-18,7:24:30,negative
81-1533630,770-68-9641,2021-02-20,18:56:55,negative
82-8913971,172-73-5334,2021-02-12,3:56:35,positive
92-2576916,649-06-8559,2021-02-18,4:17:59,positive
22-9367450,720-41-8792,2021-02-08,6:43:31,negative
83-5356832,751-74-1728,2021-02-07,18:43:58,negative
03-0919410,768-95-8192,2021-02-20,8:54:55,positive
50-5472152,890-10-6335,2021-02-11,22:41:55,positive
72-1102586,161-28-0329,2021-02-16,17:24:39,positive
80-9484214,280-74-5549,2021-02-11,11:16:06,positive
62-6078847,298-99-1127,2021-02-19,15:45:23,negative
44-7626864,734-76-8140,2021-02-19,20:24:19,positive
43-4873639,815-55-4216,2021-02-07,19:51:15,negative
80-1235273,625-91-1858,2021-02-14,19:17:59,negative
04-1994057,372-80-5831,2021-02-09,11:45:51,negative
88-5976450,839-73-9208,2021-02-15,10:35:18,positive
66-6815133,757-32-5923,2021-02-19,22:38:27,positive
78-9522136,407-44-0075,2021-02-11,20:30:44,negative
90-9809355,715-71-7292,2021-02-07,13:22:38,negative
83-0971799,145-52-6305,2021-02-08,19:15:05,negative
70-3899863,332-89-5565,2021-02-15,9:09:46,positive
54-6104737,149-91-3219,2021-02-11,5:06:43,positive
80-7062990,280-86-5218,2021-02-14,11:57:58,positive
17-6205358,818-37-9543,2021-02-10,17:47:11,positive
83-5734047,676-82-2365,2021-02-16,8:13:33,negative
94-3188927,150-39-6472,2021-02-17,21:49:01,positive
19-6558922,752-45-0034,2021-02-18,11:43:31,positive
89-9684991,585-34-8830,2021-02-20,23:20:56,negative
96-4858315,473-38-3723,2021-02-18,22:51:03,negative
98-3444380,546-39-1481,2021-02-20,3:56:44,positive
30-1468710,113-31-3405,2021-02-20,14:02:04,negative
86-1637885,832-39-1218,2021-02-16,21:00:29,positive
54-8804543,712-59-0596,2021-02-07,0:22:23,positive
05-9975779,877-86-8040,2021-02-10,0:10:56,negative
12-5928974,538-49-9737,2021-02-19,5:30:42,positive
90-4993618,119-92-7673,2021-02-20,15:03:56,positive
04-9886371,829-02-0493,2021-02-15,0:47:31,positive
59-6793090,545-18-5761,2021-02-20,20:46:33,negative
47-9901701,114-44-0507,2021-02-19,6:33:38,negative
52-2315177,800-82-5451,2021-02-17,4:18:34,negative
80-6418221,844-51-2614,2021-02-10,7:43:43,negative
27-0107346,608-06-0995,2021-02-07,10:13:11,negative
00-9187913,416-84-4075,2021-02-13,5:46:38,positive
45-5816809,217-51-4425,2021-02-13,10:33:06,positive
30-7775588,357-31-4190,2021-02-15,1:27:18,positive
18-4481410,125-12-0653,2021-02-12,3:45:33,positive
92-6040830,570-31-3227,2021-02-13,20:56:10,negative
28-8247690,136-34-7533,2021-02-09,12:34:50,positive
24-4865979,451-34-9971,2021-02-15,7:45:00,positive
56-0298641,754-50-8444,2021-02-19,9:33:50,negative
26-8211927,423-90-5414,2021-02-11,9:52:47,negative
65-6241366,199-70-5471,2021-02-18,20:00:45,negative
70-1532469,557-75-6916,2021-02-20,21:28:00,negative
44-0428347,137-26-3062,2021-02-13,10:11:57,negative
05-6897358,736-26-2030,2021-02-13,8:58:23,positive
92-9257476,467-09-3294,2021-02-19,13:26:03,negative
35-0923687,609-99-3465,2021-02-20,12:54:57,positive
98-0576379,497-21-3128,2021-02-13,20:06:54,positive
33-1079559,497-36-1226,2021-02-07,10:45:15,negative
79-6420645,617-40-9317,2021-02-19,5:56:01,positive
59-3198280,549-01-5574,2021-02-14,21:03:40,negative
06-0914965,118-65-5165,2021-02-12,18:45:29,positive
37-4335526,622-45-4168,2021-02-18,5:58:55,negative
44-3448867,628-83-6804,2021-02-19,2:12:35,negative
80-7608276,729-71-9048,2021-02-16,6:01:59,negative
94-8339377,632-57-8716,2021-02-16,23:07:44,negative
05-6438421,321-86-5388,2021-02-16,2:09:11,positive
56-5318852,826-79-3219,2021-02-07,14:09:30,negative
85-5505896,850-93-5278,2021-02-09,3:43:24,negative
42-2938646,147-26-7467,2021-02-12,21:40:31,positive
69-7385768,471-45-1146,2021-02-08,23:25:48,positive
24-9632826,158-52-8245,2021-02-13,22:23:28,positive
47-4398865,576-02-9582,2021-02-09,3:18:05,negative
20-7719846,130-16-0739,2021-02-09,8:35:51,negative
12-2096620,575-92-8461,2021-02-18,13:56:04,positive
77-4476168,120-25-3281,2021-02-17,19:46:29,negative
15-0243341,223-98-3216,2021-02-13,5:02:23,negative
59-6293687,465-35-1033,2021-02-14,2:29:32,negative
76-2846148,766-75-2201,2021-02-17,8:43:17,positive
12-0759769,322-05-1737,2021-02-18,3:40:35,negative
96-6083727,297-37-9102,2021-02-12,9:48:48,negative
02-1733139,232-53-8353,2021-02-15,1:23:33,positive
80-7443743,823-42-8122,2021-02-13,1:16:51,negative
48-9253348,521-58-3341,2021-02-20,19:03:24,positive
67-7169916,507-86-7135,2021-02-12,7:16:51,positive
92-1201840,256-08-9207,2021-02-08,2:02:31,negative
15-7275855,212-65-7468,2021-02-09,21:03:10,positive
68-8586858,705-89-2646,2021-02-17,19:51:16,positive
67-8708755,339-16-3895,2021-02-16,13:49:05,negative
49-0870051,444-80-4532,2021-02-08,18:27:32,negative
24-7856634,776-66-7042,2021-02-20,4:07:00,negative
20-6881163,296-99-8455,2021-02-18,18:20:58,positive
37-2795239,213-55-1990,2021-02-11,5:43:57,positive
04-9234167,324-74-9450,2021-02-17,19:54:30,negative
12-3047032,314-07-1161,2021-02-18,4:10:49,positive
97-1843970,513-65-6653,2021-02-08,10:08:29,negative
56-3946158,791-91-7003,2021-02-14,0:29:00,negative
10-6220816,494-37-6520,2021-02-17,8:21:35,positive
00-3402970,307-08-1583,2021-02-11,2:49:34,negative
72-2483323,442-37-9818,2021-02-16,16:13:08,negative
54-5807973,550-52-7212,2021-02-13,13:20:47,positive
30-8433770,723-03-3205,2021-02-18,2:31:41,positive
73-3873908,192-86-7149,2021-02-11,21:45:23,positive
40-4041809,243-11-1164,2021-02-13,19:49:16,positive
12-7496495,374-94-8493,2021-02-10,10:27:19,positive
63-5282309,447-87-2238,2021-02-17,9:49:20,positive
47-8236085,300-08-6676,2021-02-16,16:34:00,negative
